Timestamp,Age,Gender,Impact - Climate Change,Depth -  climate change,Awareness - climate change,Emotions - climate change,What do you think is the subject of this image?,Actions - climate change,Improvements - climate change,Impact - Mental Health,Depth - mental health,Awareness - mental health,Which of the following emotions does the image evoke in you the most?,What do you think is the subject of this image?,Actions - mental health,Improvements - mental health,Impact - Poverty,Depth - poverty,Awareness - poverty,Which of the following emotions does the image evoke in you the most?,What do you think is the subject of this image?,Actions - poverty,Improvements - poverty
2023/08/23 7:18:01 PM GMT+4,25-34,Female,Somewhat effective,Somewhat deep,To a moderate extent - The artwork somewhat increased my awareness.,Fear,,Reduce single-use plastic consumption;Plant trees or support reforestation efforts;Choose sustainable products,Show plastic bags surrounding the tree,Very effective,Very deep,To a great extent - The artwork significantly increased my awareness.,Fear,,"Practice self-care routines that prioritize mental well-being, such as meditation, exercise, and journaling.;Support mental health initiatives;Address misconceptions about mental health through conversations",Nothing ,Not very effective,Neutral,To a limited extent - The artwork minimally increased my awareness.,Sadness,,I am not inspired to take any action,Make this clearer
2023/08/23 7:22:36 PM GMT+4,18-24,Male,Somewhat effective,Very deep,To a limited extent - The artwork minimally increased my awareness.,Sadness,,Plant trees or support reforestation efforts;Educate others about environmental issues,less greener the picture,Very effective,Very deep,To a limited extent - The artwork minimally increased my awareness.,Fear,,"Encourage individuals struggling with mental health to seek therapy, counseling, or medical assistance.;Practice self-care routines that prioritize mental well-being, such as meditation, exercise, and journaling.;Support mental health initiatives",more scary the picture should,Somewhat effective,Somewhat deep,Neutral - The artwork had no significant impact on my awareness.,Sadness,,Support local charities;Offer skills and services in terms of volunteering;Support education to underprivileged communities,
2023/08/23 7:24:49 PM GMT+4,18-24,Female,Somewhat effective,Somewhat deep,Neutral - The artwork had no significant impact on my awareness.,Sadness,,Plant trees or support reforestation efforts;Educate others about environmental issues;Choose sustainable products,,Somewhat effective,Somewhat deep,To a moderate extent - The artwork somewhat increased my awareness.,Idk,,I am not inspired to take any action,I cant understand whats going on in this picture ,Not very effective,Not very deep,Not at all - The artwork did not contribute to my awareness.,Sadness,,I am not inspired to take any action,Can’t understand whats going on heren
2023/08/23 7:42:19 PM GMT+4,25-34,Male,Neutral,Neutral,Neutral - The artwork had no significant impact on my awareness.,No such emotion,,I am not inspired to take any action,A bit more clear message through use of some of story,Somewhat effective,Somewhat deep,To a moderate extent - The artwork somewhat increased my awareness.,Fear,,"Practice self-care routines that prioritize mental well-being, such as meditation, exercise, and journaling.",Clear message on which emotions has to be conveyed,Somewhat effective,Somewhat deep,To a moderate extent - The artwork somewhat increased my awareness.,Sadness,,I am not inspired to take any action,"Nothing, it's good"
2023/08/23 9:40:28 PM GMT+4,18-24,Female,Somewhat effective,Somewhat deep,Neutral - The artwork had no significant impact on my awareness.,Sadness,,Educate others about environmental issues,maybe adding some blood will make it more relatable and depressing ,Not at all effective,Not at all deep,Not at all - The artwork did not contribute to my awareness.,Fear,,I am not inspired to take any action,did not understand this one,Not very effective,Not very deep,Not at all - The artwork did not contribute to my awareness.,Sadness,,Share the artwork on social media platforms,maybe add some other character to show the comparison
2023/08/23 9:45:52 PM GMT+4,35-44,Female,Very effective,Very deep,To a great extent - The artwork significantly increased my awareness.,Sadness,,Reduce single-use plastic consumption;Reduce water wastage at home;Plant trees or support reforestation efforts;Educate others about environmental issues;Choose sustainable products,,Somewhat effective,Neutral,Neutral - The artwork had no significant impact on my awareness.,Indifferent ,,I am not inspired to take any action,,Neutral,Very deep,To a moderate extent - The artwork somewhat increased my awareness.,Old age,,Share the artwork on social media platforms;Offer skills and services in terms of volunteering,
2023/08/23 9:52:47 PM GMT+4,25-34,Female,Not very effective,Not very deep,To a limited extent - The artwork minimally increased my awareness.,Sadness,,Plant trees or support reforestation efforts,,Not very effective,Not very deep,Not at all - The artwork did not contribute to my awareness.,Confusión ,,Support mental health initiatives,,Somewhat effective,Somewhat deep,To a limited extent - The artwork minimally increased my awareness.,Fear,,Support local charities;Offer skills and services in terms of volunteering,
2023/08/23 9:52:55 PM GMT+4,35-44,Female,Not at all effective,Not at all deep,Not at all - The artwork did not contribute to my awareness.,indifference,,I am not inspired to take any action,"It does not seem to have a metaphorical subject, it seems more like the simple depiction of a forest after a storm/a logging site without the machines",Not at all effective,Not at all deep,Not at all - The artwork did not contribute to my awareness.,confusion,,I am not inspired to take any action,It seems more like the depiction of an inner world. At the most I would grant that the artwork shows that everyone's inner life is colorful and unique,Not at all effective,Not at all deep,Not at all - The artwork did not contribute to my awareness.,confusion,,I am not inspired to take any action,"okay, this is just the strange/obviously AI-generated image of an old woman. how does this convey any meaning?"
2023/08/23 10:05:07 PM GMT+4,18-24,Male,Neutral,Not very deep,Not at all - The artwork did not contribute to my awareness.,Sadness,,I am not inspired to take any action,,Neutral,Neutral,Not at all - The artwork did not contribute to my awareness.,Fear,,I am not inspired to take any action,,Neutral,Neutral,Not at all - The artwork did not contribute to my awareness.,Fear,,I am not inspired to take any action,
2023/08/23 10:09:10 PM GMT+4,18-24,Male,Neutral,Not very deep,To a limited extent - The artwork minimally increased my awareness.,Sadness,,Choose sustainable products,,Not at all effective,Not at all deep,Not at all - The artwork did not contribute to my awareness.,confusion,,I am not inspired to take any action,,Somewhat effective,Somewhat deep,To a moderate extent - The artwork somewhat increased my awareness.,Sadness,,Support local charities;Support education to underprivileged communities,
